County,Year,% High School,% Bachelor's or Higher,% Unemployment Rate,% Income < 50000,Square Land Miles,% Hispanic,% Black,% Native American,% Asian,% Hawaiian,% Other Races,% More Than One Races,% Male,% Female,% Diversity Index 2020,Eligible Voters,Total Population,Total_Votes,Prev Democratic Vote Share
Mifflin,2020,0.94,0.185,0.021,0.467,411.0,0.016,0.006,0.003,0.004,0.0,0.005,0.019,0.491,0.509,0.1165,35667.0,"46,179",21502.0,0.2084
Monroe,2016,0.902,0.256,0.065,0.42200000000000004,608.4,0.146,0.14,0.003,0.021,0.001,0.03,0.031,0.494,0.506,0.5637,126259.0,"167,126",69752.0,0.5598
Monroe,2020,0.7390000000000001,0.355,0.038,0.355,608.4,0.166,0.142,0.003,0.026000000000000002,0.0,0.039,0.047,0.495,0.505,0.5637,130797.0,"168,824",83829.0,0.4863
Montgomery,2016,0.943,0.48,0.04,0.302,483.0,0.047,0.08900000000000001,0.001,0.071,0.0,0.012,0.023,0.486,0.514,0.4587,603170.0,"815,876",434687.0,0.5661
Montgomery,2020,0.528,0.706,0.03,0.254,483.0,0.053,0.09300000000000001,0.001,0.077,0.0,0.013999999999999999,0.034,0.486,0.514,0.4587,614644.0,"827,180",510157.0,0.5891
Montour,2016,0.8420000000000001,0.455,0.032,0.46,130.2,0.024,0.018000000000000002,0.0,0.031,0.0,0.0,0.006999999999999999,0.48,0.52,0.20829999999999999,14331.0,"18,404",8556.0,0.3899
Montour,2020,0.8420000000000001,0.455,0.01,0.43799999999999994,130.2,0.027000000000000003,0.02,0.001,0.036000000000000004,0.0,0.004,0.009000000000000001,0.479,0.521,0.20829999999999999,14116.0,"18,178",9771.0,0.33390000000000003
Northampton,2016,0.9079999999999999,0.289,0.043,0.39299999999999996,369.8,0.121,0.051,0.004,0.027000000000000003,0.0,0.023,0.032,0.491,0.509,0.44189999999999996,230618.0,"300,520",143519.0,0.5171
Northampton,2020,0.643,0.43200000000000005,0.028999999999999998,0.336,369.8,0.13699999999999998,0.059000000000000004,0.002,0.028999999999999998,0.0,0.027999999999999997,0.048,0.49200000000000005,0.508,0.44189999999999996,234634.0,"304,233",170942.0,0.4618
Northumberland,2016,0.872,0.17600000000000002,0.039,0.561,457.7,0.03,0.028999999999999998,0.003,0.004,0.001,0.004,0.009000000000000001,0.505,0.495,0.20190000000000002,74685.0,"93,590",36622.0,0.3936
Northumberland,2020,0.9440000000000001,0.23399999999999999,0.024,0.507,457.7,0.037000000000000005,0.025,0.001,0.004,0.0,0.01,0.023,0.505,0.495,0.20190000000000002,72866.0,"91,234",42283.0,0.2673
Perry,2016,0.877,0.23800000000000002,0.034,0.413,551.4,0.017,0.009000000000000001,0.001,0.003,0.0,0.002,0.011000000000000001,0.504,0.496,0.1253,35270.0,"45,647",21158.0,0.29719999999999996
Perry,2020,0.877,0.23800000000000002,0.021,0.344,551.4,0.021,0.009000000000000001,0.002,0.003,0.0,0.005,0.016,0.507,0.493,0.1253,35998.0,"46,133",24652.0,0.2189
Philadelphia,2016,0.8320000000000001,0.28600000000000003,0.075,0.5920000000000001,134.4,0.138,0.429,0.004,0.069,0.001,0.057,0.027999999999999997,0.473,0.527,0.7055,1120332.0,"1,559,938",707631.0,0.8529000000000001
Philadelphia,2020,0.644,0.462,0.054000000000000006,0.507,134.4,0.151,0.414,0.003,0.07400000000000001,0.0,0.073,0.043,0.473,0.527,0.7055,1140501.0,"1,581,531",741377.0,0.8253
Pike,2016,0.7609999999999999,0.369,0.057,0.401,544.9,0.10099999999999999,0.057999999999999996,0.002,0.013999999999999999,0.001,0.009000000000000001,0.02,0.5,0.5,0.38159999999999994,43452.0,"56,210",26101.0,0.4386
Pike,2020,0.7609999999999999,0.369,0.045,0.349,544.9,0.11199999999999999,0.062,0.001,0.013000000000000001,0.001,0.022000000000000002,0.040999999999999995,0.507,0.493,0.38159999999999994,44845.0,"55,660",32554.0,0.3546
Potter,2016,0.917,0.221,0.031,0.581,"1,081.2",0.012,0.005,0.002,0.004,0.0,0.004,0.011000000000000001,0.504,0.496,0.1059,13497.0,"17,239",7784.0,0.2619
Potter,2020,0.917,0.221,0.037000000000000005,0.52,"1,081.2",0.013999999999999999,0.003,0.002,0.004,0.0,0.003,0.017,0.501,0.499,0.1059,13208.0,"16,685",9064.0,0.1673
Schuylkill,2016,0.885,0.157,0.046,0.528,778.6,0.036000000000000004,0.027999999999999997,0.002,0.005,0.0,0.011000000000000001,0.013999999999999999,0.511,0.489,0.21719999999999998,115571.0,"145,503",62869.0,0.4252
Schuylkill,2020,0.895,0.233,0.03,0.469,778.6,0.048,0.03,0.002,0.004,0.0,0.013000000000000001,0.021,0.513,0.48700000000000004,0.21719999999999998,112746.0,"141,935",70603.0,0.2667
Snyder,2016,0.7929999999999999,0.244,0.027999999999999997,0.489,328.8,0.021,0.01,0.001,0.006999999999999999,0.0,0.006,0.01,0.496,0.504,0.132,31224.0,"40,246",16363.0,0.3124
Snyder,2020,0.7929999999999999,0.244,0.015,0.41100000000000003,328.8,0.022000000000000002,0.01,0.001,0.006999999999999999,0.0,0.005,0.016,0.499,0.501,0.132,31863.0,"40,452",19140.0,0.2446
Somerset,2016,0.8759999999999999,0.16,0.037000000000000005,0.542,"1,075.0",0.013000000000000001,0.027000000000000003,0.001,0.003,0.0,0.004,0.01,0.519,0.48100000000000004,0.1311,61842.0,"76,201",35773.0,0.278
Somerset,2020,0.9470000000000001,0.24100000000000002,0.027000000000000003,0.48700000000000004,"1,075.0",0.015,0.026000000000000002,0.001,0.004,0.0,0.005,0.016,0.522,0.478,0.1311,60220.0,"73,844",40543.0,0.20620000000000002
Sullivan,2016,0.82,0.243,0.046,0.5539999999999999,449.9,0.017,0.025,0.004,0.003,0.005,0.006,0.013000000000000001,0.524,0.47600000000000003,0.1414,5447.0,"6,302",3136.0,0.3506
Sullivan,2020,0.82,0.243,0.027000000000000003,0.502,449.9,0.035,0.027999999999999997,0.001,0.001,0.0,0.011000000000000001,0.016,0.524,0.47600000000000003,0.1414,5315.0,"6,038",3595.0,0.23920000000000002
